timestamp_ms,real_x,real_y,pred_x,pred_y
16265134,60.125,11.75,63.9531,8
16265174,60.125,11.75,64.25,7.25
16265214,60.125,11.75,60.125,11.75
16265254,67.375,6.5625,60.125,11.75
16265294,84.9375,6.5,72.8125,2.67188
16265334,98.0625,5.875,98.1094,6.45312
16265374,98.0625,5.875,108.562,5.375
16265415,98.0625,5.875,98.0625,5.875
16265455,104.812,6.125,98.0625,5.875
16265495,106.875,14.125,108.188,6.25
16265535,108.438,49.1875,108.422,20.125
16265575,108.438,49.1875,109.648,76.3609
16265615,108.438,49.1875,108.438,49.1875
16265655,107.875,64.0625,108.438,49.1875
16265696,107.875,64.0625,107.439,75.5906
16265736,108.062,96.625,107.875,64.0625
16265776,104.438,104,108.212,122.675
16265819,94.5,103.875,101.537,109.9
16265859,65.875,104.062,87.4018,103.786
16265899,38.5,103.812,44.4062,104.203
16265939,38.5,103.812,17.9688,103.625
16265979,30.9375,103.938,38.5,103.812
16266019,30.9375,103.938,25.2656,104.031
16266059,30.9375,103.938,30.9375,103.938
16266099,30.9375,103.938,30.9375,103.938
16266140,7.1875,101.688,30.9375,103.938
16266180,7.4375,97.875,-11.2188,99.9437
16266220,7.625,92.5,7.625,95.0156
16266261,7.625,92.5,7.77969,88.0656
16266302,7.625,92.5,7.625,92.5
16266342,8.375,94,7.625,92.5
16266382,9.5,99.125,8.9375,95.125
16266422,9.5,99.125,10.3438,102.969
16266462,9.5,99.125,9.5,99.125
16266502,14.75,103.688,9.5,99.125
16266542,16.5625,102.188,18.95,107.338
16266582,16.4375,96.875,18.0125,100.988
16266622,21.5,81.8125,16.3438,92.8906
16266664,21.5,81.8125,25.2969,70.5156
16266704,23.1875,72.9375,21.5,81.8125
16266744,36.25,29.9375,24.4953,66.0594
16266784,36.25,29.9375,42.7812,8.4375
16266824,36.25,29.9375,36.25,29.9375
16266865,36.25,29.9375,36.25,29.9375
16266905,36.25,29.9375,36.25,29.9375
16266946,43.1875,6.9375,36.25,29.9375
16266987,42.625,7,48.3906,-10.3125
16267027,42.625,7,42.1997,7.04726
16267067,42.625,7,42.625,7
16267107,42.875,7.125,42.625,7
16267147,38.8125,8.8125,43,7.1875
16267188,35.5625,10.625,35.7656,10.0781
16267228,31.4375,10.3125,33.125,11.9844
16267268,31.4375,10.3125,28.2406,10.0703
16267311,31.4375,10.3125,31.4375,10.3125
16267351,20.25,10.3125,31.4375,10.3125
16267391,6.5,7.6875,11.8594,10.3125
16267431,6.5,7.6875,-3.8125,5.71875
16267471,6.5,7.6875,6.5,7.6875
16267511,6.75,7.625,6.5,7.6875
16267553,7.5625,7.3125,6.94375,7.57656
16267593,7.0625,7.5,8.14286,7.08929
16267633,7.0625,7.5,6.6875,7.64062
16267674,7.0625,7.5,7.0625,7.5
16267714,6.75,7.6875,7.0625,7.5
16267754,6.3125,7.9375,6.59375,7.78125
16267797,6.3125,8.125,5.875,8.1875
16267838,6.3125,8.125,6.3125,8.21428
16267878,6.3125,8.125,6.3125,8.125
